OBJECTID,FarmNum,PresAbs,PondNum,PondRoost_Dist,PondArea,PondLong,PondLat
140,27,1,22,29245.56961,43579.46015,464379.6963,3584338.742
141,27,0,38,28363.55482,12675.87423,465481.9269,3584454.449
142,27,0,36,28556.25765,31426.68563,465167.6576,3584385.504
143,27,1,32,28762.745,42917.40975,464946.3617,3584400.689
144,27,0,37,28431.68448,36026.90739,465329.8275,3584451.349
145,27,1,16,29926.32277,49091.16456,463717.7556,3584430.923
146,27,1,21,29235.8111,36485.74112,464493.2902,3584484.555
147,27,0,35,28432.51267,18123.20918,465464.2996,3584618.879
148,27,0,34,28577.42708,12875.05792,465340.0235,3584672.783
149,27,1,17,29834.93445,45959.33158,463861.3922,3584657.324
150,27,0,31,28907.60536,27600.89607,464950.584,3584665.792
151,27,0,19,29222.83555,39779.0763,464510.2978,3584667.815
152,27,0,20,29115.33863,39958.6386,464723.9042,3584737.281
153,27,1,18,29578.82317,67159.95216,464174.3416,3584730.701
154,27,0,15,29363.49409,37485.29909,464486.3753,3584844.568
155,27,0,14,29552.48968,19581.51768,464397.4669,3584975.245
156,27,0,142,29003.99234,59202.07391,464875.0278,3584916.177
157,27,0,141,28894.33413,48199.20368,465052.3017,3584949.275
158,27,0,13,29351.94807,37459.80466,464582.5181,3585041.444
159,27,0,12,29679.33354,48781.82207,464299.3586,3585269.757
160,27,1,11,29511.47483,60204.27909,464701.096,3585841.492
161,27,1,9,29092.09811,102146.2785,465170.482,3585846.939
162,27,1,8,29431.43273,42774.26468,464935.8317,3585938.002
163,27,0,10,29866.03613,67131.67004,464458.9814,3585987.455
164,27,1,7,29620.56751,49692.34289,464783.5999,3586078.054
165,27,1,4,29385.72891,46840.31623,465080.2798,3586126.332
166,27,1,6,29819.50867,52783.75546,464629.7539,3586206.872
167,27,0,3,29560.80406,64275.73752,464963.5827,3586305.339
168,27,0,5,30020.81085,52559.91683,464468.183,3586336.339
169,27,1,2,29768.03172,49326.74983,464794.3176,3586420.627
170,27,1,1,29982.9855,49863.38426,464617.2145,3586542.992
171,8,0,13,31835.40813,32721.8044,459655.5814,3589455.485
172,8,0,15,32244.11853,54547.30682,460131.1963,3589470.034
173,8,0,14,31944.13045,56184.33012,459894.8907,3589503.688
174,8,0,12,32129.48931,53597.0348,460124.7616,3589727.934
175,8,0,11,31897.69163,58446.39738,459890.5447,3589745.581
176,8,0,10,31666.71214,55074.82618,459652.3923,3589774.093
177,8,1,9,31701.85701,25473.1617,459759.4281,3590097.067
178,8,0,8,31544.61413,27958.84512,459604.4857,3590122.539
